Source Name,Village,Parish,Sub-county,County,District,Latitude,Longitude,Lab Identifier Code,Electrical Conductivity,pH,Turbidity,Total Alkalinity,Total Hardness,Calcium Hardness,Fluoride,Nitrites,Sulphates,Ammonium,Chloride,Phosphates,Nitrates,Sodium,Potassium,Iron,Free Chlorine,Color,E.Coli,Total dissolved solids,Bicarbonates,Magnesium Hardness,Total Chlorine,GPS Location,Easting,Northing,Altitude,Field Temperature,Source type,Other Source Name,GPS Latitude,GPS Longtude,Dissolved Oxygen,Calcium,Magnesium,Silica,Mercury,Lead,Manganese,Total Iron
Kilikwani tap,Bugembe,Bugembe T/C,Mafubira division,Jinja City,Jinja,0.4657335032,33.23691573,E23/00103,103,6.9,2.34,43,33,18,0.26,0.015,4,0.16,5,0.04,0.32,8.9,3,0.27,0.02,22,,,,,,E526362 N51478,526362,51478,,,,,,,,,,,,,,
Ndiba Roseline tap,Masese,,Walukuba division,Jinja City,Jinja,0.4496656264,33.23679838,E23/00104,111,6.7,2.23,48,35,19,0.23,0.003,4,0.002,5,0.1,2.49,9.2,3.2,0.16,0,20,,,,,,E526349 N49702,526349,49702,,,,,,,,,,,,,,
Musisi bad man tap,Masese,,Walukuba division,Jinja City,Jinja,0.4391797206,33.24193857,E23/00105,101,6.8,2.92,41,27,19,0.26,0.008,4,0.04,5,0.06,0.51,8.5,2.9,0.34,0.05,15,,,,,,E526921 N48543,526921,48543,,,,,,,,,,,,,,
Jinja college Borehole,Rubaga hill,Rubaga,Kimaka-Mpumudde,Jinja City,Jinja,0.4485988008,33.21261446,E23/00109,648,6.6,2.12,175,310,125,0.67,0.007,69,0.002,51,1,6.7,11,4,0.07,,4,,,,,,E523658 N49584,523658,49584,,,,,,,,,,,,,,
Mpumudde mosque B/H,Mpumudde,Mpumudde,Mpumudde,Jinja City,Jinja,0.4664670626,33.21416973,E22/00110,1041,6.8,3.48,320,430,230,0.68,0.081,62,0.02,69,0.06,18,48,13,2.16,,27,,,,,,E523831 N51559,523831,51559,,,,,,,,,,,,,,
Mawuta B/H C046,Mawuta,Mafubira,Mafubira division,Jinja City,Jinja,0.4927401943,33.2161387,E23/00111,1393,6.9,6.25,350,730,400,0.32,0.014,234,0.002,148,0.12,0.32,16,5.2,0.29,,75,,,,,,E524050 N54463,524050,54463,,,,,,,,,,,,,,
Nsube B/H,Nsube,Mafubira,Mafubira division,Jinja City,Jinja,0.5519542612,33.21960076,E23/00112,492,6.5,1.91,230,220,105,0.27,0.007,21,0.002,8,0.05,6.7,20,4,0.31,,1,,,,,,E524435 N61008,524435,61008,,,,,,,,,,,,,,
Mutai S/W,Mutai,Kagoma,Buwenge,Jinja,Jinja,0.5582783531,33.21766876,E23/00113,292,6,1.85,91,120,60,0.28,0.004,28,0.04,8,0.11,6.1,17,1.4,0.15,,1,,,,,,E524220 N61707,524220,61707,,,,,,,,,,,,,,
Mutai police post tap,Mutai,Kagoma,Buwenge,Jinja,Jinja,0.5658058672,33.21200716,E23/00114,106,6.7,2.11,41,36,16,0.29,0.003,5,0.03,6,0.11,0.51,9.3,3.1,0.13,0,11,,,,,,E523590 N62539,523590,62539,,,,,,,,,,,,,,
Kagoma protected spring,Kagoma,Kagoma,Buwenge,Jinja,Jinja,0.5921971064,33.20041469,E23/00115,198,5.4,2.37,38,62,38,0.05,0.005,15,0,13,0.03,7.6,9.2,5.1,0.24,,6,,,,,,E522300 N65456,522300,65456,,,,,,,,,,,,,,
AGM Tap,Nalufenya,Mpumudde,Mpumudde division,Jinja City,Jinja,0.4391811203,33.19428979,E23/00117,104,6.8,2.43,46,33,20,0.28,0.036,5,0.12,5,0.03,0.22,8.9,3.1,0.24,0.04,22,,,,,,E521619 N48543,521619,48543,,,,,,,,,,,,,,
i,Butakanila,Bugiri,Kapyangha,Bukooli,Bugiri,0.5492057859,33.75033418,E23/00090,246,7,2.69,125,110,95,0.4069,0.15106,5.12238,1.62681,2.85226,0.29374,0.71488,42,7,1.35,,57,,,,,,E583492 N60709,583492,60709,,,,,,,,,,,,,,
Buyubu Shallow well,Buyubu,Bugiri,Kapyangha,Bukooli,Bugiri,0.537491286,33.74424896,E23/00091,585,6.7,2.22,330,97,47,0.09621,0.01788,11.87691,0.38375,6.76433,0.52461,0.38758,120,2.2,0.32,,21,,,,,,E582815 N59414,582815,59414,,,,,,,,,,,,,,
Kikabala Primary School Borehole,Kikabala,Nakavule,Kapyangha,Bukooli,Bugiri,0.5298654129,33.74128254,E23/00092,533,6.6,2.75,290,220,125,0.00564,0.00224,4.48113,0.01781,15.03327,0.16367,0.27989,33,4.7,0.02,,36,,,,,,E582485 N58571,582485,58571,,,,,,,,,,,,,,
Lubila open well,Lubila,Nakavule,Kapyangha,Bukooli,Bugiri,0.5236136544,33.74627822,E23/00093,218,5.7,3.98,98,105,77,0.19449,0.01352,7.09486,0.03977,6.81628,0.02301,2.28204,5.3,3.5,0.4,,29,,,,,,E583041 N57880,583041,57880,,,,,,,,,,,,,,
Bukonde protected spring,Bukonde,Bugiri A,Kapyangha,Bukooli  North,Bugiri,0.5629902501,33.76892875,E23/00094,139,5.6,4.37,50,48,29,0.24617,0.00315,3.92465,0.01966,3.02388,0.01978,5.32393,8.7,2.1,0.58,,66,,,,,,E585561 N62233,585561,62233,,,,,,,,,,,,,,
